support,itemsets
0.07638619620007756,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_tracado_via_Reta'})"
0.0756107018224118,"frozenset({'ctx_fim_de_semana_Não', 'ctx_tracado_via_Reta', 'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro', 'desfecho_Ferido'})"
0.07289647150058162,"frozenset({'ctx_tracado_via_Reta', 'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro', 'desfecho_Ferido', 'ctx_uso_solo_Não'})"
0.05622334238076774,"frozenset({'ctx_tracado_via_Reta', 'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_fim_de_semana_Não', 'ctx_uso_solo_Não'})"
0.0507948817371074,"frozenset({'ctx_fim_de_semana_Não', 'ctx_tracado_via_Reta', 'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro', 'desfecho_Ferido', 'ctx_uso_solo_Não'})"
0.06979449398991858,"frozenset({'ctx_tracado_via_Reta', 'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro', 'desfecho_Ferido'})"
0.05622334238076774,"frozenset({'ctx_tracado_via_Reta', 'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_fim_de_semana_Não'})"
0.0507948817371074,"frozenset({'ctx_tracado_via_Reta', 'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_uso_solo_Não'})"
0.05234587049243893,"frozenset({'ctx_fim_de_semana_Não', 'ctx_tracado_via_Reta', 'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro', 'desfecho_Ferido'})"
0.045366421093447074,"frozenset({'ctx_tracado_via_Reta', 'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro', 'desfecho_Ferido', 'ctx_uso_solo_Não'})"
0.03722373012795657,"frozenset({'ctx_tracado_via_Reta', 'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_fim_de_semana_Não', 'ctx_uso_solo_Não'})"
0.03450949980612641,"frozenset({'ctx_fim_de_semana_Não', 'ctx_tracado_via_Reta', 'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Simples', 'ctx_condicao_metereologica_Céu_Claro', 'desfecho_Ferido', 'ctx_uso_solo_Não'})"
0.12679333074835208,"frozenset({'ctx_fim_de_semana_Não', 'ctx_tipo_pista_Dupla', 'ctx_tracado_via_Reta'})"
0.10818146568437378,"frozenset({'ctx_tracado_via_Reta', 'ctx_tipo_pista_Dupla', 'ctx_uso_solo_Não'})"
0.10352849941837922,"frozenset({'ctx_condicao_metereologica_Céu_Claro', 'ctx_tipo_pista_Dupla', 'ctx_tracado_via_Reta'})"
0.16867002714230322,"frozenset({'desfecho_Ferido', 'ctx_tipo_pista_Dupla', 'ctx_tracado_via_Reta'})"
0.09810003877471889,"frozenset({'ctx_fase_dia_Pleno_dia', 'ctx_tipo_pista_Dupla', 'ctx_tracado_via_Reta'})"
0.11903838697169446,"frozenset({'ctx_fim_de_semana_Não', 'desfecho_Ferido', 'ctx_tipo_pista_Dupla', 'ctx_tracado_via_Reta'})"
0.07367196587824738,"frozenset({'ctx_tracado_via_Reta', 'ctx_fim_de_semana_Não', 'ctx_tipo_pista_Dupla', 'ctx_uso_solo_Não'})"
0.10081426909654904,"frozenset({'ctx_tracado_via_Reta', 'desfecho_Ferido', 'ctx_tipo_pista_Dupla', 'ctx_uso_solo_Não'})"
0.06940674680108569,"frozenset({'ctx_fim_de_semana_Não', 'ctx_tracado_via_Reta', 'ctx_tipo_pista_Dupla', 'desfecho_Ferido', 'ctx_uso_solo_Não'})"
0.07173322993408297,"frozenset({'ctx_fim_de_semana_Não', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_tipo_pista_Dupla', 'ctx_tracado_via_Reta'})"
0.0569988367584335,"frozenset({'ctx_tracado_via_Reta', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_tipo_pista_Dupla', 'ctx_uso_solo_Não'})"
0.09499806126405584,"frozenset({'ctx_condicao_metereologica_Céu_Claro', 'desfecho_Ferido', 'ctx_tipo_pista_Dupla', 'ctx_tracado_via_Reta'})"
0.06669251647925553,"frozenset({'ctx_fim_de_semana_Não', 'ctx_tracado_via_Reta', 'ctx_condicao_metereologica_Céu_Claro', 'desfecho_Ferido', 'ctx_tipo_pista_Dupla'})"
0.03722373012795657,"frozenset({'ctx_tracado_via_Reta', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_tipo_pista_Dupla', 'ctx_fim_de_semana_Não', 'ctx_uso_solo_Não'})"
