regra,n_anos_presente,n_anos_total,freq_relativa,status,lift_medio,confianca_media,anos
"ctx_causa_acidente_Acessar_a_via_sem_observar_a_presença_dos_outros_veículos, ctx_fase_dia_Plena_Noite => desfecho_AltaGravidade",3,4,0.75,estavel,1.3499,0.438,"[2024, 2025, 2026]"
"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Colisão_lateral_sentido_oposto => desfecho_AltaGravidade",2,4,0.5,estavel,1.3494,0.4436,"[2024, 2025]"
"ctx_condicao_metereologica_Céu_Claro, ctx_tracado_via_Curva;Declive => desfecho_AltaGravidade",2,4,0.5,estavel,1.3355,0.4391,"[2024, 2025]"
"ctx_condicao_metereologica_Céu_Claro, ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Colisão_transversal => desfecho_AltaGravidade",2,4,0.5,estavel,1.3286,0.4368,"[2024, 2025]"
"ctx_fim_de_semana_Sim, ctx_tipo_pista_Simples, ctx_uso_solo_Não => desfecho_AltaGravidade",3,4,0.75,estavel,1.3267,0.4304,"[2024, 2025, 2026]"
"ctx_fase_dia_Amanhecer, ctx_tracado_via_Reta => desfecho_AltaGravidade",2,4,0.5,estavel,1.3235,0.4317,"[2023, 2025]"
"ctx_fim_de_semana_Sim, ctx_tipo_pista_Simples => desfecho_AltaGravidade",3,4,0.75,estavel,1.3212,0.4317,"[2023, 2024, 2025]"
"ctx_condicao_metereologica_Céu_Claro, ctx_fase_dia_Anoitecer, ctx_uso_solo_Não => desfecho_AltaGravidade",2,4,0.5,estavel,1.3208,0.4306,"[2023, 2025]"
"ctx_condicao_metereologica_Céu_Claro, ctx_fase_dia_Plena_Noite, ctx_fim_de_semana_Sim => desfecho_AltaGravidade",2,4,0.5,estavel,1.3183,0.4209,"[2023, 2026]"
"ctx_condicao_metereologica_Nublado, ctx_tipo_pista_Simples, ctx_tracado_via_Reta => desfecho_AltaGravidade",2,4,0.5,estavel,1.3112,0.4232,"[2025, 2026]"
"ctx_causa_acidente_Ausência_de_reação_do_condutor, ctx_tipo_acidente_Colisão_traseira, ctx_uso_solo_Não => desfecho_AltaGravidade",2,4,0.5,estavel,1.3072,0.4203,"[2024, 2026]"
"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Colisão_transversal => desfecho_AltaGravidade",2,4,0.5,estavel,1.3054,0.4292,"[2024, 2025]"
"ctx_causa_acidente_Velocidade_Incompatível, ctx_condicao_metereologica_Nublado, ctx_fim_de_semana_Não => desfecho_AltaGravidade",2,4,0.5,estavel,1.3051,0.4258,"[2023, 2025]"
"ctx_fase_dia_Anoitecer, ctx_tipo_pista_Simples => desfecho_AltaGravidade",3,4,0.75,estavel,1.303,0.4202,"[2023, 2025, 2026]"
"ctx_tipo_pista_Simples, ctx_tracado_via_Declive;Curva => desfecho_AltaGravidade",2,4,0.5,estavel,1.3025,0.4191,"[2024, 2026]"
