regra,n_anos_presente,n_anos_total,freq_relativa,status,lift_medio,confianca_media,anos
"ctx_condicao_metereologica_Chuva, ctx_tipo_acidente_Colisão_frontal => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.0798,0.6899,[2024]
"ctx_condicao_metereologica_Nublado, ctx_tipo_acidente_Colisão_frontal, ctx_tipo_pista_Simples => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.0515,0.7033,[2025]
"ctx_causa_acidente_Transitar_na_contramão, ctx_condicao_metereologica_Céu_Claro, ctx_tipo_pista_Simples => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.0306,0.6736,[2024]
"ctx_causa_acidente_Transitar_na_contramão, ctx_condicao_metereologica_Céu_Claro, ctx_uso_solo_Não => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.0247,0.6716,[2024]
"ctx_causa_acidente_Transitar_na_contramão, ctx_tracado_via_Reta => desfecho_AltaGravidade",1,3,0.333,intermediaria,2.0218,0.6696,[2023]
"ctx_causa_acidente_Transitar_na_contramão, ctx_condicao_metereologica_Céu_Claro => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.9974,0.6626,[2024]
"ctx_fase_dia_Amanhecer, ctx_fim_de_semana_Sim, ctx_tipo_pista_Simples => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.7935,0.5949,[2024]
"ctx_condicao_metereologica_Ignorado, ctx_tipo_pista_Simples => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.7862,0.5915,[2023]
"ctx_fim_de_semana_Sim, ctx_tipo_pista_Simples, ctx_tracado_via_Curva;Declive => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.7437,0.5775,[2023]
"ctx_causa_acidente_Ultrapassagem_Indevida, ctx_tracado_via_Reta, ctx_uso_solo_Não => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.5808,0.5244,[2024]
"ctx_fim_de_semana_Não, ctx_tipo_pista_Simples, ctx_tracado_via_Reta;Declive => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.54,0.51,[2023]
"ctx_causa_acidente_Condutor_Dormindo, ctx_fase_dia_Plena_Noite, ctx_tipo_pista_Simples => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.528,0.506,[2023]
"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_pista_Simples, ctx_tracado_via_Curva;Declive => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.5193,0.5208,[2025]
"ctx_fim_de_semana_Não, ctx_tipo_acidente_Colisão_lateral_sentido_oposto, ctx_uso_solo_Não => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.5098,0.5,[2023]
"ctx_fim_de_semana_Não, ctx_tipo_pista_Simples, ctx_tracado_via_Declive;Reta => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.5073,0.5,[2024]
"ctx_fim_de_semana_Não, ctx_tipo_acidente_Colisão_lateral_sentido_oposto, ctx_tipo_pista_Simples => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.4995,0.4966,[2023]
"ctx_condicao_metereologica_Céu_Claro, ctx_fase_dia_Amanhecer, ctx_tipo_pista_Simples => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.4944,0.4957,[2024]
"ctx_causa_acidente_Acessar_a_via_sem_observar_a_presença_dos_outros_veículos, ctx_fim_de_semana_Sim, ctx_uso_solo_Não => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.4936,0.4946,[2023]
"ctx_fim_de_semana_Sim, ctx_tipo_acidente_Colisão_lateral_sentido_oposto => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.4895,0.4941,[2024]
